,en,ru,pl,be,uk,bg,sl,cs
718, ESA |0|  is likely to expand quite rapidly in the coming years.," ЕСА |0| в ближайшие годы, скорее всего, будет расширяться довольно быстро.", ESA |0| prawdopodobnie rozwinie się dość szybko w nadchodzących latach.," ESA |0| верагодна, будзе даволі хутка пашырацца ў бліжэйшыя гады."," ESA |0| імовірно, у найближчі роки розшириться досить швидко.", ESA |0| вероятно ще се разшири доста бързо през следващите години., ESA |0| se bo v prihodnjih letih verjetno zelo hitro širilo.," ESA |0| je pravděpodobné, že se v příštích letech bude poměrně rychle rozšiřovat."
719," Every 3 -- 4 years, ESA |0|  memberstates agree on a budget plan for several years at an ESA |0|  memberstates conference.", Каждые 3 -- 4 года ESA |0| государства-члены согласовывают бюджетный план на несколько лет на ЕКА |0| конференция государств-участников.," Co 3 - 4 lata, ESA |0| państwa członkowskie uzgadniają plan budżetowy na kilka lat na forum ESA |0| konferencja państw członkowskich."," Кожныя 3 - 4 гады, ESA |0| краіны-члены ўзгадняюць бюджэтны план на некалькі гадоў на ESA |0| канферэнцыя дзяржаў-членаў.", Кожні 3 -- 4 роки ESA |0| країни-члени узгоджують бюджетний план на кілька років на ESA |0| конференції держав-членів.," На всеки 3 - 4 години, ESA |0| държавите-членки се договарят за бюджетен план за няколко години на ESA |0| конференция на държавите-членки."," Vsaka 3-4 leta, ESA |0| države članice se dogovorijo o večletnem proračunskem načrtu na ESA |0| konferenca držav članic.", Každé 3 -- 4 roky ESA |0| členské státy se dohodnou na rozpočtovém plánu na několik let v ESA |0| konference členských států.
720," ESA |0|  has made great progress towards its goal of having a complete fleet of launch vehicles in service, competing in all sectors of the launch market.","ЕСА |0| добилась значительного прогресса в достижении своей цели иметь в эксплуатации полный парк ракет-носителей, конкурирующих во всех секторах пускового рынка.","ESA |0| poczyniła znaczne postępy w realizacji celu, jakim jest posiadanie w służbie kompletnej floty pojazdów nośnych, konkurujących we wszystkich sektorach rynku rakiet nośnych.","ESA |0| дасягнула значнага прагрэсу ў дасягненні сваёй мэты - мець поўны парк ракет-носьбітаў у эксплуатацыі, канкурыруючых ва ўсіх сектарах рынку запуску.","ESA |0| досягла значного прогресу у досягненні своєї мети — мати в експлуатації повний парк ракет-носіїв, які конкурують у всіх секторах ринку запуску.","ESA |0| постигна голям напредък към целта си да разполага с пълен парк от ракети-носители в експлоатация, конкуриращи се във всички сектори на пазара за изстрелване.","ESA |0| je dosegla velik napredek pri svojem cilju, da ima v uporabi celotno floto nosilnih vozil, ki tekmujejo v vseh sektorjih trga izstrelitev.","ESA |0| dosáhla velkého pokroku směrem ke svému cíli mít v provozu kompletní flotilu nosných raket, konkurujících ve všech sektorech trhu s nosnými raketami."
721, ESA |0|  has a long history of collaboration with NASA |0| ., ЕСА |0| имеет долгую историю сотрудничества с НАСА |0| ., ESA |0| ma długą historię współpracy z NASA |0| ., ESA |0| мае доўгую гісторыю супрацоўніцтва з NASA |0| ., ESA |0| має довгу історію співпраці з NASA |0| ., ESA |0| има дълга история на сътрудничество с НАСА |0| ., ESA |0| ima dolgo zgodovino sodelovanja z NASA |0| ., ESA |0| má dlouhou historii spolupráce s NASA |0| .
722," In robotic science mission and exploration missions, NASA |0|  has been ESA |0|  's main partner.", В роботизированных научных и исследовательских миссиях НАСА |0| был ЕКА |0| главный партнер., W robotycznych misjach naukowych i misjach eksploracyjnych NASA |0| był ESA |0| główny partner., У рабатызаваных навуковых місіях і даследчых місіях NASA |0| было ESA |0| галоўны партнёр., У робототехнічних наукових і дослідницьких місіях NASA |0| було ESA |0| основний партнер.," В роботизирани научни мисии и изследователски мисии, НАСА |0| е ESA |0| основен партньор на."," V robotski znanstveni misiji in raziskovalnih misijah, NASA |0| je bila ESA |0| glavni partner.", V robotických vědeckých misích a průzkumných misích NASA |0| byla ESA |0| hlavním partnerem společnosti.
723," Conversely, many on the Christian |0|  right |0|  contend that they merely seek freedom from the imposition of an equally subjective secular worldview, and feel that it is their opponents who are violating their rights."," И наоборот, многие христиане |0| справа |0| утверждают, что они просто стремятся к свободе от навязывания столь же субъективного светского мировоззрения, и считают, что это их противники нарушают их права."," Odwrotnie, wielu na chrześcijańskich |0| w prawo |0| twierdzą, że po prostu szukają wolności od narzucania równie subiektywnego, świeckiego światopoglądu i czują, że to ich przeciwnicy naruszają ich prawa."," І наадварот, многія на хрысціянскім |0| справа |0| сцвярджаюць, што яны проста шукаюць свабоды ад навязвання гэтак жа суб'ектыўнага свецкага светапогляду, і лічаць, што іхнія правы парушаюць іх апаненты."," І навпаки, багато на християнських |0| праворуч |0| стверджують, що вони просто прагнуть свободи від нав’язування не менш суб’єктивного світського світогляду, і вважають, що їх опоненти порушують їхні права."," Обратно, много на християнската |0| вдясно |0| твърдят, че те просто търсят свобода от налагането на също толкова субективен светски мироглед и смятат, че техните опоненти са тези, които нарушават правата им."," Nasprotno pa mnogi na krščanski |0| desno |0| trdijo, da iščejo zgolj osvoboditev od vsiljevanja enako subjektivnega posvetnega pogleda na svet, in menijo, da so njihovi nasprotniki tisti, ki kršijo njihove pravice."," Naopak, mnozí na křesťanské |0| vpravo |0| tvrdí, že pouze hledají svobodu od vnucování stejně subjektivního sekulárního světového názoru, a mají pocit, že jejich práva porušují jejich oponenti."
724, Besson |0|  produces a four-valve non-compensating euphonium with the fourth valve on the side., Бессон |0| производит четырехклапанный некомпенсирующий эуфониум с четвертым клапаном сбоку., Besson |0| produkuje czterozaworowy niekompensujący eufonium z czwartym zaworem z boku., Бесон |0| вырабляе четырехклапанный некомпенсирующий эуфоний з чацвёртым клапанам збоку., Бессон |0| виробляє чотириклапанний некомпенсуючий еуфоній з четвертим клапаном збоку., Бесон |0| произвежда четириклапан некомпенсиращ еуфоний с четвъртия клапан отстрани., Besson |0| proizvaja štiriventilni nekompenzacijski evfonij s četrtim ventilom ob strani., Besson |0| vyrábí čtyřventilové nekompenzační eufonium se čtvrtým ventilem na straně.
725, The countries in the EBU |0|  have also often worked together to create documentaries and ( animated) children 's programming., Страны в EBU |0| также часто работали вместе над созданием документальных фильмов и (анимационных) детских программ., Kraje EBU |0| często pracowali razem przy tworzeniu filmów dokumentalnych i (animowanych) programów dla dzieci., Краіны ЕВС |0| таксама часта разам працавалі над стварэннем дакументальных фільмаў і (анімацыйных) дзіцячых праграм., Країни в ЄВС |0| також часто працювали разом над створенням документальних фільмів та (анімаційних) дитячих програм., Държавите в EBU |0| също често са работили заедно за създаване на документални филми и (анимационни) детски програми., Države v EBU |0| pogosto so sodelovali tudi pri ustvarjanju dokumentarnih filmov in (animiranih) otroških programov., Země v EBU |0| také často spolupracovali při vytváření dokumentárních filmů a (animovaných) pořadů pro děti.
726, The EBU |0|  places great emphasis on the use of open standards., ЭБУ |0| уделяет большое внимание использованию открытых стандартов., EBU |0| kładzie duży nacisk na wykorzystanie otwartych standardów., EBU |0| надае вялікую ўвагу выкарыстанню адкрытых стандартаў., EBU |0| приділяє велику увагу використанню відкритих стандартів., EBU |0| поставя голям акцент върху използването на отворени стандарти., EBU |0| daje velik poudarek uporabi odprtih standardov., EBU |0| klade velký důraz na používání otevřených standardů.
727, The EBU |0|  has also actively encouraged the development and implementation of:, ЭБУ |0| также активно поощрял разработку и внедрение:, EBU |0| aktywnie zachęcał również do opracowywania i wdrażania:, EBU |0| таксама актыўна заахвочваў распрацоўку і ўкараненне:, EBU |0| також активно заохочує розробку та впровадження:, EBU |0| също така активно насърчава разработването и прилагането на:, EBU |0| je tudi aktivno spodbujal razvoj in izvajanje:, EBU |0| také aktivně podporoval vývoj a implementaci:
728," According to a survey conducted by FIFA |0|  published in 2001, over 240 million people from more than 200 countries regularly play football."," Согласно опросу, проведенному FIFA |0| опубликовано в 2001 году, более 240 миллионов человек из более чем 200 стран мира регулярно играют в футбол."," Według ankiety przeprowadzonej przez FIFA |0| opublikowanym w 2001 roku, ponad 240 milionów ludzi z ponad 200 krajów regularnie gra w piłkę nożną."," Паводле апытання, праведзенага FIFA |0| апублікавана ў 2001 годзе, больш за 240 мільёнаў чалавек з больш чым 200 краін рэгулярна гуляюць у футбол."," Згідно з опитуванням, проведеним FIFA |0| опубліковано в 2001 році, більше 240 мільйонів людей з більш ніж 200 країн регулярно грають у футбол."," Според проучване, проведено от FIFA |0| публикуван през 2001 г., над 240 милиона души от повече от 200 страни редовно играят футбол."," Glede na raziskavo, ki jo je izvedla FIFA |0| objavljeno leta 2001, več kot 240 milijonov ljudi iz več kot 200 držav redno igra nogomet."," Podle průzkumu FIFA |0| publikoval v roce 2001, přes 240 milionů lidí z více než 200 zemí pravidelně hraje fotbal."
729, The European |0|  Union |0|  makes 60% of the total trade., Европейский |0| Союз |0| составляет 60% от общего объема торговли., Europejskie |0| Unia |0| stanowi 60% całkowitego handlu., Еўрапейскі |0| Саюз |0| складае 60% ад агульнага тавараабароту., Європейський |0| Союз |0| становить 60% від загального обсягу торгівлі., Европейският |0| Съюз |0| прави 60% от общата търговия., Evropski |0| Unija |0| predstavlja 60 % celotne trgovine., Evropský |0| Unie |0| tvoří 60 % celkového obchodu.
730, Lordi |0|  is another notable band., Лорди |0| еще одна известная группа., Lordi |0| to kolejny godny uwagi zespół., Лордзі |0| яшчэ адзін вядомы гурт., Lordi |0| ще одна помітна група., Lordi |0| е друга забележителна група., Lordi |0| je še ena pomembna skupina., Lordi |0| je další pozoruhodná kapela.
731, YLE |0|  is funded through a mandatory license for television owners and fees for private broadcasters., ЮЛ |0| финансируется за счет обязательной лицензии для владельцев телевидения и сборов для частных вещателей., YLE |0| jest finansowany z obowiązkowej koncesji dla właścicieli telewizji oraz opłat dla nadawców prywatnych., YLE |0| фінансуецца за кошт абавязковай ліцэнзіі для ўладальнікаў тэлебачання і збораў для прыватных вяшчальнікаў., YLE |0| фінансується за рахунок обов’язкової ліцензії для власників телебачення та плати для приватних мовників., YLE |0| се финансира чрез задължителен лиценз за собствениците на телевизия и такси за частни оператори., YLE |0| se financira iz obvezne licence za lastnike televizijskih programov in pristojbin za zasebne izdajatelje televizijskega programa., YLE |0| je financována prostřednictvím povinné licence pro vlastníky televizí a poplatků pro soukromé provozovatele vysílání.
732, Umami flavorants recognized and approved by the European |0|  Union |0|  include:, Ароматизаторы умами признаны и одобрены Европейским |0| Союз |0| включать:, Aromaty Umami uznane i zatwierdzone przez Europejskie |0| Unia |0| włączać:, Араматызатары Umami прызнаныя і зацверджаны еўрапейскімі |0| Саюз |0| ўключаюць:, Ароматизатори Umami визнані та схвалені Європейським |0| Союз |0| включати:," Ароматизатори Umami, признати и одобрени от Европейския |0| Съюз |0| включват:"," Umami arome, priznane in odobrene s strani evropske |0| Unija |0| vključujejo:", Příchutě Umami uznávané a schválené evropským |0| Unie |0| zahrnout:
733," On the other hand, a given spelling will usually lead to a predictable sound, and the Académie |0|  française |0|  works hard to enforce and update this correspondence [ citation needed ]."," С другой стороны, данное написание обычно приводит к предсказуемому звучанию, и Académie |0| французский |0| усердно работает над обеспечением соблюдения и обновлением этой переписки [нужна ссылка]."," Z drugiej strony, dana pisownia zwykle prowadzi do przewidywalnego dźwięku, a Académie |0| francuski |0| ciężko pracuje, aby wyegzekwować i zaktualizować tę korespondencję [ potrzebne źródło ]."," З іншага боку, дадзенае напісанне звычайна прыводзіць да прадказальнага гуку, і Académie |0| франсэз |0| працуе над захаваннем і абнаўленнем гэтай перапіскі [неабходная цытата]."," З іншого боку, задане написання зазвичай призводить до передбачуваного звуку, а Académie |0| française |0| наполегливо працює над забезпеченням та оновленням цієї кореспонденції [потрібна цитата]."," От друга страна, даден правопис обикновено води до предсказуем звук, а Académie |0| française |0| работи усилено, за да наложи и актуализира тази кореспонденция [необходимо е цитиране]."," Po drugi strani pa dano črkovanje običajno vodi do predvidljivega zvoka in Académie |0| française |0| trdo dela, da bi uveljavil in posodobil to korespondenco [potreben citiranje].", Na druhou stranu daný pravopis obvykle vede k předvídatelnému zvuku a Académie |0| française |0| tvrdě pracuje na vynucení a aktualizaci této korespondence [cit ].
734, Fredericton |0|  Transit |0|  provides bus transit service to most areas of the city., Фредериктон |0| Транзит |0| обеспечивает автобусное сообщение с большинством районов города., Fredericton |0| Tranzyt |0| świadczy usługi transportu autobusowego do większości obszarów miasta., Фрэдэрыктан |0| Транзіт |0| забяспечвае аўтобусны транспарт у большасць раёнаў горада., Фредеріктон |0| Транзит |0| забезпечує автобусне сполучення з більшістю районів міста., Фредериктън |0| Транзит |0| осигурява автобусен транспорт до повечето части на града., Fredericton |0| Tranzit |0| zagotavlja avtobusni prevoz do večine predelov mesta., Fredericton |0| Tranzit |0| zajišťuje autobusovou dopravu do většiny částí města.
735, OSI |0|  does not agree with the free software movement 's position that non-free software is a social problem or that it is unethical.," ОСИ |0| не согласен с позицией движения за свободное программное обеспечение, согласно которой несвободное программное обеспечение является социальной проблемой или что оно неэтично."," OSI |0| nie zgadza się ze stanowiskiem ruchu wolnego oprogramowania, że ​​niewolne oprogramowanie jest problemem społecznym lub że jest nieetyczne."," OSI |0| не згодны з пазіцыяй руху за свабоднае праграмнае забеспячэнне, што несвабоднае праграмнае забеспячэнне з'яўляецца сацыяльнай праблемай або што яно неэтычна."," OSI |0| не погоджується з позицією руху вільного програмного забезпечення про те, що невільне програмне забезпечення є соціальною проблемою або що воно неетично."," OSI |0| не е съгласен с позицията на движението за свободен софтуер, че несвободният софтуер е социален проблем или че е неетичен."," OSI |0| se ne strinja s stališčem gibanja za prosto programsko opremo, da je neprosta programska oprema družbeni problem ali da je neetična."," OSI |0| nesouhlasí s postojem hnutí za svobodný software, že nesvobodný software je společenský problém nebo že je neetický."
736," OSI |0|  advocates free software ( under the name "" open-source software "") on the basis that it is a superior model for software development rather than it being a social or ethical issue."," ОСИ |0| защищает свободное программное обеспечение (под названием «программное обеспечение с открытым исходным кодом») на том основании, что это лучшая модель разработки программного обеспечения, а не социальная или этическая проблема."," OSI |0| opowiada się za wolnym oprogramowaniem (pod nazwą „oprogramowanie open-source”) na podstawie tego, że jest to lepszy model rozwoju oprogramowania, a nie kwestia społeczna lub etyczna."," OSI |0| выступае за свабоднае праграмнае забеспячэнне (пад назвай «праграмнае забеспячэнне з адкрытым зыходным кодам») на падставе таго, што гэта лепшая мадэль для распрацоўкі праграмнага забеспячэння, а не сацыяльная або этычная праблема."," OSI |0| виступає за вільне програмне забезпечення (під назвою «програмне забезпечення з відкритим кодом») на основі того, що воно є кращою моделлю для розробки програмного забезпечення, а не соціальним чи етичним питанням."," OSI |0| застъпва свободния софтуер (под името ""софтуер с отворен код"") въз основа на това, че той е по-добър модел за разработка на софтуер, а не социален или етичен проблем."," OSI |0| zagovarja brezplačno programsko opremo (pod imenom "" odprtokodna programska oprema "") na podlagi tega, da je boljši model za razvoj programske opreme, ne pa družbeno ali etično vprašanje."," OSI |0| obhajuje svobodný software (pod názvem „software s otevřeným zdrojovým kódem“) na základě toho, že jde spíše o lepší model pro vývoj softwaru než o společenský nebo etický problém."
737, For collaboration with Nazi |0|  Germany |0|  see also the politicians section., За сотрудничество с нацистами |0| Германия |0| см. также раздел политики., Za kolaborację z nazistami |0| Niemcy |0| zobacz także sekcję politycy., За супрацоўніцтва з нацыстамі |0| Германія |0| глядзіце таксама раздзел палітыкаў., За співпрацю з нацистами |0| Німеччина |0| див. також розділ політиків., За сътрудничество с нацисти |0| Германия |0| вижте и раздела политици., Za sodelovanje z nacisti |0| Nemčija |0| glej tudi razdelek politiki., Za kolaboraci s nacisty |0| Německo |0| viz také sekce politici.
738," The Diet |0|  has 200 members, elected for a four year term by proportional representation in multi-seat constituencies."," Диета |0| насчитывает 200 членов, избираемых на четырехлетний срок по пропорциональному представительству в многомандатных округах."," Dieta |0| liczy 200 członków, wybieranych na czteroletnią kadencję przez proporcjonalną reprezentację w okręgach wielomandatowych."," Дыета |0| налічвае 200 членаў, якія абіраюцца на чатырохгадовы тэрмін па прапарцыйнаму прадстаўніцтва ў шматмандатных акругах."," Дієта |0| має 200 депутатів, які обираються на чотирирічний термін за пропорційним представництвом у багатомандатних виборчих округах."," Диетата |0| има 200 членове, избирани за четиригодишен мандат чрез пропорционално представителство в многомандатни избирателни райони."," Dieta |0| ima 200 članov, ki so izvoljeni za štiriletni mandat s sorazmerno zastopanostjo v veččlanskih volilnih enotah."," Dieta |0| má 200 členů, volených na čtyřleté funkční období poměrným zastoupením ve vícemístných volebních obvodech."
739, The European |0|  Union |0|  makes 60 percent of the total trade., Европейский |0| Союз |0| составляет 60% всего товарооборота., Europejskie |0| Unia |0| stanowi 60 procent całego handlu., Еўрапейскі |0| Саюз |0| складае 60 працэнтаў ад агульнага тавараабароту., Європейський |0| Союз |0| становить 60 відсотків загального обсягу торгівлі., Европейският |0| Съюз |0| прави 60 процента от общата търговия., Evropski |0| Unija |0| predstavlja 60 odstotkov celotne trgovine., Evropský |0| Unie |0| tvoří 60 procent celkového obchodu.
740, Nokia |0|  is a world leader in mobile telephony., Нокиа |0| является мировым лидером в области мобильной телефонии., Nokia |0| jest światowym liderem w telefonii komórkowej., Nokia |0| з'яўляецца сусветным лідэрам у галіне мабільнай тэлефоннай сувязі., Nokia |0| є світовим лідером у сфері мобільної телефонії., Nokia |0| е световен лидер в мобилната телефония., Nokia |0| je vodilna v svetu mobilne telefonije., Nokia |0| je světovým lídrem v oblasti mobilních telefonů.
741," While the manufacturing sector is thriving, OECD |0|  points out that the service sector would benefit substantially from policy improvements."," В то время как производственный сектор процветает, ОЭСР |0| указывает, что сектор услуг существенно выиграет от усовершенствований политики."," Podczas gdy sektor produkcyjny kwitnie, OECD |0| Zwraca uwagę, że sektor usług odniósłby znaczne korzyści z poprawy polityki."," Пакуль вытворчы сектар квітнее, АЭСР |0| адзначае, што сектар паслуг выйграе ад паляпшэння палітыкі."," Поки виробничий сектор процвітає, ОЕСР |0| зазначає, що сектор послуг отримає значну користь від покращення політики."," Докато производственият сектор процъфтява, ОИСР |0| посочва, че секторът на услугите би спечелил съществено от подобренията на политиката."," Medtem ko proizvodni sektor uspeva, OECD |0| poudarja, da bi storitveni sektor imel velike koristi od izboljšav politike."," Zatímco výrobnímu sektoru se daří, OECD |0| poukazuje na to, že sektor služeb by výrazně těžil ze zlepšení politiky."
742, Operations are privatized and currently the only operator is VR |0| .," Операции приватизированы, и в настоящее время единственным оператором является VR |0| .", Operacje są sprywatyzowane i obecnie jedynym operatorem jest VR |0| .," Аперацыі прыватызаваныя, і ў цяперашні час адзіным аператарам з'яўляецца VR |0| ."," Операції приватизовані, і наразі єдиним оператором є VR |0| .", Операциите са приватизирани и в момента единственият оператор е VR |0| ., Poslovanje je privatizirano in trenutno je edini operater VR |0| ., Provozy jsou privatizovány a v současnosti je jediným provozovatelem VR |0| .
743," In addition, the Defence |0|  Forces |0|  support the voluntary training by providing instructors and giving logistical support."," Кроме того, Защита |0| Силы |0| поддерживать добровольное обучение, предоставляя инструкторов и оказывая материально-техническую поддержку.", Ponadto Obrona |0| Siły |0| wspierać dobrowolne szkolenia poprzez zapewnienie instruktorów oraz wsparcie logistyczne.," Акрамя таго, абарона |0| Сілы |0| падтрымліваць добраахвотнае навучанне, забяспечваючы інструктараў і аказваючы матэрыяльна-тэхнічную падтрымку."," Крім того, оборона |0| Сили |0| підтримувати добровільне навчання, забезпечуючи інструкторами та надаючи матеріально-технічну підтримку.", Освен това защитата |0| Сили |0| подпомагане на доброволното обучение чрез осигуряване на инструктори и логистична подкрепа., Poleg tega je obramba |0| Sile |0| podpirati prostovoljno usposabljanje z zagotavljanjem inštruktorjev in logistično podporo., Kromě toho Obrana |0| Síly |0| podporovat dobrovolný výcvik poskytováním instruktorů a poskytováním logistické podpory.
744, The Border |0|  Guard |0|  has the responsibility for border security in all situations., Граница |0| Охранник |0| несет ответственность за безопасность границ во всех ситуациях., Granica |0| Straż |0| odpowiada za bezpieczeństwo granic we wszystkich sytuacjach., Мяжа |0| Ахоўнік |0| нясе адказнасць за бяспеку мяжы ў любых сітуацыях., Кордон |0| Охоронець |0| несе відповідальність за безпеку кордону в будь-яких ситуаціях., Границата |0| Страж |0| носи отговорност за сигурността на границите във всички ситуации., Meja |0| Varuh |0| je odgovoren za varnost meje v vseh situacijah., Hranice |0| Stráž |0| má odpovědnost za bezpečnost hranic ve všech situacích.
745, One of the projected uses for the Border |0|  Guard |0|  is guerrilla warfare in areas temporarily occupied by enemy.," Одно из предполагаемых применений границы |0| Охранник |0| ведет партизанскую войну в районах, временно оккупированных противником.", Jedno z przewidywanych zastosowań granicy |0| Straż |0| to wojna partyzancka na terenach czasowo zajętych przez wroga.," Адно з прагназуемых выкарыстанняў для мяжы |0| Ахоўнік |0| вядзецца партызанская вайна ў раёнах, часова акупаваных ворагам.", Одне із запланованих застосувань для кордону |0| Охоронець |0| ведеться партизанська війна на тимчасово окупованих ворогом районах.," Едно от предвидените употреби на границата |0| Страж |0| е партизанска война в райони, временно окупирани от врага."," Ena od predvidenih uporab za mejo |0| Varuh |0| je gverilsko vojskovanje na območjih, ki jih začasno zasede sovražnik.", Jedno z předpokládaných využití hranice |0| Stráž |0| je partyzánský boj v oblastech dočasně obsazených nepřítelem.
746, Several British |0|  films |0|  made in the first half of 1903 extended the chase method of film construction.," Несколько британцев |0| фильмы |0| сделанный в первой половине 1903 г., расширил чеканный метод построения пленки.", Kilka brytyjskich |0| filmy |0| wykonany w pierwszej połowie 1903 roku rozszerzył pościgowy sposób konstrukcji folii., Некалькі брытанскіх |0| фільмы |0| зроблены ў першай палове 1903 г. пашырыў пагоні метад пабудовы фільма., Кілька британських |0| фільми |0| Зроблений у першій половині 1903 р. розширив гоницький метод побудови фільму., Няколко британски |0| филми |0| направен през първата половина на 1903 г. разшири метода на преследване на конструиране на филма., Več britanskih |0| filmi |0| narejen v prvi polovici leta 1903 razširil chase metodo gradnje filma., Několik Britů |0| filmy |0| vyrobený v první polovině roku 1903 rozšířil honiční metodu výstavby filmu.
747," Although production levels give an overview, the history of British |0|  cinema |0|  is complex, with various cultural movements developing independently."," Хотя уровни производства дают общее представление, история британского |0| кинотеатр |0| сложна, и различные культурные движения развиваются независимо друг от друга."," Chociaż poziomy produkcji dają ogólny zarys, historia brytyjskiego |0| kino |0| jest złożony, a różne ruchy kulturowe rozwijają się niezależnie."," Нягледзячы на ​​тое, што ўзровень вытворчасці даюць агульны агляд, гісторыя брытанскага |0| кінатэатр |0| з'яўляецца складаным, з рознымі культурнымі рухамі, якія развіваюцца самастойна."," Хоча рівень виробництва дає загальний огляд, історія британського |0| кіно |0| є складним, з різними культурними рухами, що розвиваються незалежно."," Въпреки че нивата на производство дават общ преглед, историята на британския |0| кино |0| е сложен, като различни културни движения се развиват самостоятелно."," Čeprav ravni proizvodnje dajejo pregled, je zgodovina britanskega |0| kino |0| je kompleksen, različna kulturna gibanja se razvijajo samostojno."," Přestože úrovně výroby poskytují přehled, historie Britů |0| kino |0| je komplexní, s různými kulturními hnutími se vyvíjejícími nezávisle."
748," Hammer |0|  overturns the underworld in search of the ' great whatsit ' [ which ] turns out to be -- joke of jokes -- an exploding atomic bomb. """," Молоток |0| переворачивает подземный мир в поисках «великой ерунды», [которая] оказывается — шутка шуток — взорвавшейся атомной бомбой. """," Młotek |0| przewraca podziemia w poszukiwaniu „wielkiego głupka”, [który] okazuje się być – żartem dowcipów – wybuchającą bombą atomową. """," Малаток |0| пераварочвае апраметны свет у пошуках «вялікага чаго» [якім] аказваецца - жартамі жартаў - выбухам атамнай бомбы. """," Молоток |0| перевертає підземний світ у пошуках «великого чого» [що ] виявляється — жартом жартів — атомною бомбою, що вибухнула. """," Чук |0| преобръща подземния свят в търсене на „великото какво“ [което] се оказва – шега на шегите – експлодираща атомна бомба. """," Kladivo |0| prevrne podzemlje v iskanju 'velikega kaj' [za katerega se] izkaže, da je - šala šal - eksplodirajoča atomska bomba. """," Kladivo |0| převrací podsvětí při hledání 'skvělé Whatsit' [která se ukáže být - vtipem z vtipů - explodující atomovou bombou. """
749, The Federal |0|  Reserve |0|  describes its structure as composed of five parts:, Федеральный |0| Резерв |0| описывает свою структуру как состоящую из пяти частей:, Federalny |0| Rezerwa |0| opisuje swoją strukturę jako złożoną z pięciu części:, Федэральны |0| Запас |0| апісвае сваю структуру як складаецца з пяці частак:, Федеральний |0| Резерв |0| описує його структуру як складається з п'яти частин:, Федералният |0| Резервирай |0| описва структурата му като съставена от пет части:," Zvezni |0| Rezerviraj |0| opisuje svojo strukturo, sestavljeno iz petih delov:", Federální |0| Rezervovat |0| popisuje jeho strukturu jako složenou z pěti částí:
750, Key laws affecting the Federal |0|  Reserve |0|  have been:,"Основные законы, влияющие на федеральный |0| Резерв |0| Был:",Kluczowe prawa wpływające na federalne |0| Rezerwa |0| byłem:,"Асноўныя законы, якія закранаюць Федэральны |0| Запас |0| былі:","Основні закони, що впливають на федеральний |0| Резерв |0| були:","Ключови закони, засягащи федералната |0| Резервирай |0| бил е:","Ključni zakoni, ki vplivajo na zvezno |0| Rezerviraj |0| je bil:",Klíčové zákony ovlivňující Federal |0| Rezervovat |0| byl:
751, Today the Fed |0|  has broader responsibilities than only ensuring the stability of the financial system.," Сегодня ФРС |0| имеет более широкие обязанности, чем просто обеспечение стабильности финансовой системы.", Dziś Fed |0| ma szersze obowiązki niż tylko zapewnienie stabilności systemu finansowego.," Сёння ФРС |0| мае больш шырокія абавязкі, чым толькі забеспячэнне стабільнасці фінансавай сістэмы."," Сьогодні ФРС |0| має ширші обов'язки, ніж лише забезпечення стабільності фінансової системи."," Днес Фед |0| има по-широки отговорности, отколкото само осигуряването на стабилност на финансовата система.", Danes Fed |0| ima širše odgovornosti kot le zagotavljanje stabilnosti finančnega sistema., Dnes Fed |0| má širší odpovědnost než jen zajišťovat stabilitu finančního systému.
752," By making these loans, the Fed |0|  serves as a buffer against unexpected day-to-day fluctuations in reserve demand and supply."," Предоставляя эти кредиты, ФРС |0| служит буфером против неожиданных ежедневных колебаний спроса и предложения резервов."," Udzielając tych pożyczek, Fed |0| służy jako bufor przed nieoczekiwanymi codziennymi wahaniami popytu i podaży rezerw."," Выдаючы гэтыя пазыкі, ФРС |0| служыць буферам супраць нечаканых штодзённых ваганняў рэзервовага попыту і прапановы."," Надаючи ці позики, ФРС |0| служить буфером проти несподіваних щоденних коливань резервного попиту та пропозиції."," Отпускайки тези заеми, Фед |0| служи като буфер срещу неочаквани ежедневни колебания в търсенето и предлагането на резерви.", Z dajanjem teh posojil je Fed |0| služi kot varovalo pred nepričakovanimi vsakodnevnimi nihanji povpraševanja in ponudbe po rezervah., Poskytnutím těchto půjček Fed |0| slouží jako nárazník proti neočekávaným každodenním výkyvům poptávky a nabídky rezerv.
753," As the government 's bank, or fiscal agent, the Fed |0|  processes a variety of financial transactions involving trillions of dollars."," Как государственный банк или фискальный агент, ФРС |0| обрабатывает различные финансовые операции с участием триллионов долларов.", Jako bank rządowy lub agent fiskalny Fed |0| przetwarza różne transakcje finansowe o wartości bilionów dolarów., Як дзяржаўны банк або фіскальны агент ФРС |0| апрацоўвае розныя фінансавыя аперацыі з удзелам трыльёнаў даляраў., Як урядовий банк або фіскальний агент ФРС |0| обробляє різноманітні фінансові операції на трильйони доларів.," Като правителствена банка или фискален агент, Фед |0| обработва различни финансови транзакции, включващи трилиони долари."," Kot vladna banka ali fiskalni agent je Fed |0| obdeluje različne finančne transakcije, ki vključujejo trilijone dolarjev.", Jako vládní banka nebo fiskální agent Fed |0| zpracovává různé finanční transakce zahrnující biliony dolarů.
